,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,khO,khE,H,sigmaE,sigmaB,kS,s,xi,xieff,sigmaEkh,sigmaBkh,skh,xieffkh
38,15.543081328492093,-0.1284140558376059,1.0,0.0,3.3894798339305443,0.05387245402080225,0.05386048620042157,1.0553373577593883,0.25269206919752696,0.4155519482130381,-0.06961744120798388,3.3894798339305443,3.389495808296638,0.9995557283597011,0.002669669346690799,0.0,0.48227349832546035,0.0,-1.6058891489764278,-1.6058891489764278,0.0,0.0,0.0,-1.6058891489764278
39,15.540092146929842,-0.12840391413518076,1.0,0.0,3.4699035381772703,0.077151065980542,0.07712652227298064,1.08017873441598,0.347566242409411,0.5759456210367668,-0.09919518441660095,3.4699035381772703,3.4699313828502514,0.9993638095919106,0.00314918458271104,0.0,0.5347372685713041,0.0,-1.606070693459652,-1.606070693459652,0.0,0.0,0.0,-1.606070693459652
40,15.53656816666176,-0.12839283032299975,1.0,0.0,3.5672814113188807,0.10459675932307967,0.1045516502305465,1.1102127351290845,0.44977736182280575,0.751777462785233,-0.1336684550867867,3.5672814113188807,3.5673262128658134,0.9991375730915711,0.0036039811667281305,0.0,0.5863378417381646,0.0,-1.6062956916648818,-1.6062956916648818,0.0,0.0,0.0,-1.6062956916648818
41,15.532712008655924,-0.1283816992464178,1.0,0.0,3.6770241495552463,0.13463214105544094,0.1345574110458929,1.1440303370952392,0.5508864754016232,0.929082332951013,-0.17089327660267273,3.6770241495552463,3.677090908823551,0.9988900324927505,0.004012098697462604,0.0,0.6357408283213718,0.0,-1.6065544638337044,-1.6065544638337044,0.0,0.0,0.0,-1.6065544638337044
42,15.528693315404213,-0.1283711137015197,1.0,0.0,3.79497744958207,0.16593614732565196,0.16582263330191094,1.1803637259390651,0.6456842594302968,1.0986061566143552,-0.20913573079945122,3.79497744958207,3.7950706997401866,0.99863207998657,0.004367872488584693,0.0,0.6825976399722754,0.0,-1.6068369456853182,-1.6068369456853182,0.0,0.0,0.0,-1.6068369456853182
43,15.524592646535625,-0.12836128433760804,1.0,0.0,3.919195932892547,0.19788124964513198,0.19771983329840856,1.2186209289841738,0.7326745972569384,1.2571301756471858,-0.24759174262365158,3.919195932892547,3.9193199202813367,0.9983688865325557,0.004676995986566947,0.0,0.7274344939365459,0.0,-1.6071374778041814,-1.6071374778041814,0.0,0.0,0.0,-1.6071374778041814
44,15.524411837398763,-0.12836087210629318,1.0,0.0,3.9196979296463033,0.19928984748156883,0.19912612537894878,1.2203358715182062,0.7296104140477705,1.2529953544572605,-0.24757751918448925,3.9196979296463033,3.92340906791002,0.9983572821035426,0.004669248033824944,0.0,0.7276928918405298,0.0,-1.6071509970338016,-1.6071509970338016,0.0,0.0,0.0,-1.6071509970338016
45,15.52423102884135,-0.12836046160264059,1.0,0.0,3.924710658871261,0.20069844531800568,0.20053240111356885,1.2220532074833381,0.7324888447221823,1.2584498709841747,-0.24906532783057714,3.924710658871261,3.928427680452098,0.9983456777507935,0.004679560663804718,0.0,0.7294374819632065,0.0,-1.6071645380864994,-1.6071645380864994,0.0,0.0,0.0,-1.6071645380864994
46,15.523948608944368,-0.12835982383964034,1.0,0.0,3.9333438710108264,0.20289866021151454,0.20272895620234538,1.2247404649490532,0.7379914617598037,1.2685972827327523,-0.25165011480938143,3.9333438710108264,3.9370710350086324,0.9983275520231719,0.004698676035292274,0.0,0.7324159534853649,0.0,-1.6071857325222478,-1.6071857325222478,0.0,0.0,0.0,-1.6071857325222478
47,15.523151257709614,-0.12835804564971998,1.0,0.0,3.957846077458587,0.20911054763004375,0.20893029561936002,1.2323590947089307,0.7533491484228122,1.2969732428839675,-0.25894228265716746,3.957846077458587,3.9616020937311345,0.998276378450785,0.004751739388619595,0.0,0.740791553924305,0.0,-1.6072458542107038,-1.6072458542107038,0.0,0.0,0.0,-1.6072458542107038
48,15.521631537142236,-0.12835474624555568,1.0,0.0,4.005061473677718,0.22095039924787258,0.22074916242124726,1.2470105942120175,0.7819008928128726,1.349942077201558,-0.27281521186485425,4.005061473677718,4.0088733604913545,0.9981788455381589,0.004849307349815645,0.0,0.7566301067786211,0.0,-1.6073615817859073,-1.6073615817859073,0.0,0.0,0.0,-1.6073615817859073
49,15.519392608487435,-0.1283500924109022,1.0,0.0,4.075781869145686,0.23839400504747926,0.23815974750488492,1.2689118821420144,0.8222349258362062,1.4252562443405106,-0.2931669376417939,4.075781869145686,4.079678088378673,0.9980351596161197,0.004984900927251112,0.0,0.7796999486729453,0.0,-1.6075347042416606,-1.6075347042416606,0.0,0.0,0.0,-1.6075347042416606
50,15.516561067306084,-0.1283445422469742,1.0,0.0,4.167142798273581,0.26045556355931043,0.26017595414049394,1.297158306962016,0.8704124860176611,1.5159563214574094,-0.31873373184398507,4.167142798273581,4.171149059136724,0.9978534493134145,0.005143688832204859,0.0,0.8085292639695764,0.0,-1.6077579119369088,-1.6077579119369088,0.0,0.0,0.0,-1.6077579119369088
51,15.513289500876605,-0.12833856670367477,1.0,0.0,4.275353074787724,0.28594666349564646,0.2856096603106604,1.3305729784296327,0.9224259701589286,1.6147346382704937,-0.3480173625310693,4.275353074787724,4.279491179810068,0.9976435104262182,0.005311516610683414,0.0,0.8415269478543281,0.0,-1.6080213693873142,-1.6080213693873142,0.0,0.0,0.0,-1.6080213693873142
52,15.509708110420068,-0.12833252342015514,1.0,0.0,4.397092321532016,0.3138531302417303,0.3134471591192407,1.3681331674901818,0.9753075907901338,1.7159677391685486,-0.3797486958381984,4.397092321532016,4.401380590215,0.9974137006635245,0.005478508248023697,0.0,0.8774739887638427,0.0,-1.6083161296910018,-1.6083161296910018,0.0,0.0,0.0,-1.6083161296910018
53,15.505913597470434,-0.12832664322306953,1.0,0.0,4.52987813291109,0.3434216375269469,0.3429355937567208,1.4090780055830177,1.027225287995695,1.8159737378580216,-0.4129917090032297,4.52987813291109,4.534332269659405,0.9971702266214139,0.005638956551403566,0.0,0.9155758387800779,0.0,-1.608635113107299,-1.608635113107299,0.0,0.0,0.0,-1.608635113107299
54,15.505734922835732,-0.1283263788311191,1.0,0.0,4.530450933539533,0.34481398142688047,0.34432398965778976,1.411035722438803,1.0229811151440598,1.8098565180434334,-0.4128757203502447,4.530450933539533,4.539003543421762,0.9971587622734736,0.005629391458018394,0.0,0.9158962618530099,0.0,-1.6086502932910756,-1.6086502932910756,0.0,0.0,0.0,-1.6086502932910756
55,15.505556248568396,-0.12832611552718676,1.0,0.0,4.536171590836303,0.34620632532681417,0.3457123695965777,1.412996136713768,1.0246029809902184,1.8132046565012934,-0.41424081940594926,4.536171590836303,4.54473656638947,0.9971472979745395,0.005634713578922911,0.0,0.9175335775978164,0.0,-1.6086654873839834,-1.6086654873839834,0.0,0.0,0.0,-1.6086654873839834
56,15.505276110299038,-0.1283257048786222,1.0,0.0,4.5460609825643825,0.34838934720757014,0.34788914434701,1.4160752610908935,1.028157747258039,1.8200843898885826,-0.41663961212670264,4.5460609825643825,4.554647343714713,0.9971293234759324,0.005645608065633395,0.0,0.9203327107714431,0.0,-1.6086893376990277,-1.6086893376990277,0.0,0.0,0.0,-1.6086893376990277
57,15.504481618486738,-0.12832455457799252,1.0,0.0,4.5742548954572975,0.35458058835308426,0.3540624546371362,1.4248441718268128,1.0381660412057934,1.839450226721221,-0.42343959880632465,4.5742548954572975,4.582902286212756,0.997078346845732,0.005676171657854418,0.0,0.9282860883171166,0.0,-1.6087571626636539,-1.6087571626636539,0.0,0.0,0.0,-1.6087571626636539
58,15.502963497196085,-0.12832241431007885,1.0,0.0,4.6287210046907425,0.36641101340030874,0.36585773910945496,1.4417501234081391,1.0569839926264388,1.8758444745467808,-0.43641610900103056,4.6287210046907425,4.637486546848967,0.9969809415463016,0.005733204791951243,0.0,0.9435449936739752,0.0,-1.6088875042968829,-1.6088875042968829,0.0,0.0,0.0,-1.6088875042968829
59,15.5007238760106,-0.1283193904330521,1.0,0.0,4.710411860624548,0.3838642994278963,0.38325707866073405,1.4670551301622132,1.0839537215724817,1.9279622833894556,-0.45549245808102057,4.710411860624548,4.719355220740672,0.9968372464586538,0.005813988220161823,0.0,0.9661965518554414,0.0,-1.6090815086529582,-1.6090815086529582,0.0,0.0,0.0,-1.6090815086529582
60,15.497889595430104,-0.12831578046123188,1.0,0.0,4.816014382935183,0.40595231646762087,0.40527322844095115,1.4997122081107692,1.1167398350083797,1.9912043269888067,-0.4794912699373227,4.816014382935183,4.825188658803674,0.9966554024697835,0.005910670511335894,0.0,0.9951191636466341,0.0,-1.6093298162942802,-1.6093298162942802,0.0,0.0,0.0,-1.6093298162942802
61,15.494613889225914,-0.12831189094102352,1.0,0.0,4.941130769379016,0.4314811833200437,0.43071402891850225,1.5383555618441767,1.1528685909166307,2.0606302692931586,-0.5070059943586589,4.941130769379016,4.95058010296769,0.9964452432988902,0.006015201471791718,0.0,1.0289504443649633,0.0,-1.6096204458288477,-1.6096204458288477,0.0,0.0,0.0,-1.6096204458288477
62,15.491027481868372,-0.1283079547443517,1.0,0.0,5.081910310270499,0.4594323193832015,0.4585625898811512,1.5817986567011655,1.1904511062535392,2.132372246674802,-0.536839507119711,5.081910310270499,5.091670962557275,0.996215157523502,0.006121559289748389,0.0,1.0665605572849777,0.0,-1.6099428142525118,-1.6099428142525118,0.0,0.0,0.0,-1.6099428142525118
63,15.4872274285705,-0.1283041222172467,1.0,0.0,5.235475118592721,0.4890494298907158,0.48806399415358626,1.6291591032946098,1.2282734282490895,2.203844315531458,-0.5681039403362206,5.235475118592721,5.24557746902233,0.9959713726844507,0.00622594283366357,0.0,1.1071510858479607,0.0,-1.6102887810849855,-1.6102887810849855,0.0,0.0,0.0,-1.6102887810849855
64,15.483281431181641,-0.12830047952154366,1.0,0.0,5.39983381754533,0.5198049050707402,0.5186916742254987,1.6798284485208543,1.2656467048200717,2.2734839294590086,-0.6001801635166425,5.39983381754533,5.4103042064084335,0.9957182324652801,0.006326233975017831,0.0,1.1502048842057537,0.0,-1.6106524333179941,-1.6106524333179941,0.0,0.0,0.0,-1.6106524333179941
65,15.483101073007735,-0.12830032073557585,1.0,0.0,5.4005221724604695,0.5212106541861239,0.5200913961176857,1.6821813875213218,1.2606670370538031,2.265819443807397,-0.5999512530204033,5.4005221724604695,5.415923010944758,0.9957066624501474,0.006315500680107288,0.0,1.1506774836072107,0.0,-1.610669155560656,-1.610669155560656,0.0,0.0,0.0,-1.610669155560656
66,15.482920715056581,-0.12830016260130647,1.0,0.0,5.407396439441907,0.5226164033015076,0.5214911017453554,1.6845375948898682,1.2616028732077913,2.2677022244273823,-0.6012149628088329,5.407396439441907,5.4228189940930545,0.9956950924654764,0.006318224898724795,0.0,1.1525038724552696,0.0,-1.6106858863241185,-1.6106858863241185,0.0,0.0,0.0,-1.6106858863241185
67,15.482638445886783,-0.12829991641434013,1.0,0.0,5.41925886905612,0.5248164740978273,0.5236816815213435,1.688231753574533,1.264094895528875,2.27230190682303,-0.6034528342005483,5.41925886905612,5.4347189071157,0.9956769848925048,0.0063248153841276794,0.0,1.1556034268216768,0.0,-1.6107120878689343,-1.6107120878689343,0.0,0.0,0.0,-1.6107120878689343
68,15.481839842537823,-0.12829922841144684,1.0,0.0,5.45299681176971,0.531040994884876,0.5298791341688791,1.6987269781620193,1.271134912871689,2.2852526269928837,-0.6097815256947505,5.45299681176971,5.468563520535156,0.9956257546583066,0.006343339943538872,0.0,1.1644092121161873,0.0,-1.6107863297424247,-1.6107863297424247,0.0,0.0,0.0,-1.6107863297424247
69,15.480316009426275,-0.12829794982921747,1.0,0.0,5.518083338433406,0.5429182350470932,0.5417038398498717,1.7189331553187932,1.2845132112873312,2.309687111267254,-0.6218420012652321,5.518083338433406,5.533856099801499,0.9955280018408802,0.0063781665027272,0.0,1.1813595165953248,0.0,-1.6109284418918324,-1.6109284418918324,0.0,0.0,0.0,-1.6109284418918324
70,15.478069833928863,-0.1282961441575029,1.0,0.0,5.615624664153639,0.5604258526002541,0.5591319020375386,1.749153404523028,1.3040131210434924,2.3448968275734607,-0.6395548467432883,5.615624664153639,5.6317068694122865,0.9953839130058721,0.006428075096561059,0.0,1.2066824758774115,0.0,-1.6111389595657706,-1.6111389595657706,0.0,0.0,0.0,-1.6111389595657706
71,15.475228658634066,-0.1282939882354598,1.0,0.0,5.741658303563823,0.5825714863768574,0.5811732915614876,1.788135204392238,1.3282396702892763,2.3879502493581026,-0.6618195404232811,5.741658303563823,5.758141462407919,0.9952016586329997,0.006488676729742446,0.0,1.239285978487524,0.0,-1.61140693349129,-1.61140693349129,0.0,0.0,0.0,-1.61140693349129
