,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
72,15.539975697414407,-0.12840353315738828,1.0,7.152910431034222e-06,3.471434089308066,0.0780579673709071,0.07803284331123468,1.0811581669011454,0.34864775228951994,0.5778703814561623,-0.09962835589633674,0.9993563333165256,0.0,0.0024502575055552023,0.0,-1.6060779433305383,-1.6048520254952936
73,15.539918441748878,-0.12840334621723926,1.0,7.24924017588522e-06,3.4722693569372924,0.0785038718239224,0.07847845993085645,1.0816400563097468,0.3493049759305127,0.5790888839465664,-0.09991746012741608,0.9993526574045213,0.0,0.00245260134689183,0.0,-1.6060815126904662,-1.6048544176661423
74,15.53986589905298,-0.12840317488416614,1.0,7.337958068585461e-06,3.473688445973391,0.0789130724601027,0.07888739498385092,1.0820824672960097,0.35087504407762965,0.5817678473387313,-0.10042764792538993,0.9993492840782697,0.0,0.0024581776371141147,0.0,-1.6060847909972276,-1.6048549018702336
75,15.539340475933551,-0.1284014730468457,1.0,8.257993801045415e-06,3.487910796404319,0.08300507882190572,0.08297666959430379,1.086516459382743,0.36644629157540104,0.6083780349136594,-0.10552316880505946,0.9993155513087149,0.0,0.00251283052284172,0.0,-1.6061177182558815,-1.6048604424536832
76,15.537335959198696,-0.12839516835600454,1.0,1.2321032366170006e-05,3.5427005250205226,0.09861678703647853,0.09857668785748244,1.1035990337947477,0.423753230317498,0.7069743160979246,-0.12485842983089847,0.9991868630595172,0.0,0.002704747840146139,0.0,-1.6062457021659797,-1.6048922276858089
77,15.53650681003082,-0.12839264528206404,1.0,1.4259492303902243e-05,3.565611835902418,0.10507464173261473,0.10502911956021987,1.1107429542311278,0.44652162073904234,0.7464448852009846,-0.1328085666733957,0.9991336342176039,0.0,0.002777430363215206,0.0,-1.6062997091300635,-1.6049097897698819
78,15.535677677000225,-0.12839017047759327,1.0,1.6349142727390252e-05,3.588669266752894,0.11153249642875093,0.11148120752554157,1.1179327350857562,0.4687640023589974,0.7851719958469249,-0.14073104963347016,0.9990804074474053,0.0,0.002846699800415536,0.0,-1.6063543224416614,-1.6049296624347213
79,15.535528742038643,-0.1283897309719721,1.0,1.6740513629670733e-05,3.5928266132871975,0.1126925168266735,0.11264015563193401,1.1192291121839462,0.4727047874978136,0.7920510579729703,-0.14215125239296175,0.9990708465724109,0.0,0.0028588033725805415,0.0,-1.606364195948273,-1.6049334648933191
80,15.535379807586013,-0.12838929298837456,1.0,1.7133940342115864e-05,3.595119829507533,0.11385253722459607,0.11379909264755367,1.1205269801593665,0.4739485852392078,0.794577906165787,-0.14289056507077313,0.9990612857619041,0.0,0.002862633428873341,0.0,-1.6063740885833435,-1.6049414270090887
81,15.535175514095002,-0.12838869466958042,1.0,1.7680435047465287e-05,3.600836758091678,0.11544374442464837,0.11538879572477898,1.1223097019715806,0.4793086606566622,0.8039449274465454,-0.144833486759717,0.9990481712456589,0.0,0.0028789963822838946,0.0,-1.6063876893631104,-1.604946819710802
82,15.533132630686447,-0.12838286545850627,1.0,2.3646842970593357e-05,3.6585014718309017,0.1313558164251714,0.13128467879880992,1.1402923521676849,0.5312650237293869,0.8952623124748105,-0.16417443443884494,0.9989170326947179,0.0,0.003033189041491417,0.0,-1.6065256329669293,-1.6050073942432843
83,15.530406475195814,-0.12837550568141165,1.0,3.3012955773013564e-05,3.7368784946441593,0.15259100579595175,0.15249501313754202,1.1647366536986397,0.5961995083758765,1.0107596620337345,-0.1897402647515296,0.9987420419558664,0.0,0.0032158835594165453,0.0,-1.6067150010778817,-1.605105034027171
84,15.526699336361427,-0.1283662171668552,1.0,4.8248829061798864e-05,3.8461318999624776,0.1814693721161808,0.18133361588245417,1.1988150563297424,0.6771703200343052,1.1570088549858133,-0.22407197145027558,0.9985040977995631,0.0,0.003430616472749334,0.0,-1.606981601900034,-1.6052637238861582
85,15.522710253102007,-0.128357076204949,1.0,6.770055919901646e-05,3.967229576784011,0.2125462985633413,0.21236007599656528,1.2365930724059504,0.7559249967609571,1.301711184846922,-0.2604766371337872,0.9982480753135183,0.0,0.0036278327021813214,0.0,-1.6072792848190074,-1.6054621850459665
86,15.519371725502362,-0.12835005014325132,1.0,8.625844325953909e-05,4.071476233717327,0.23855670837784607,0.23832213103974206,1.2691179492693603,0.8159649386712087,1.4136672683024012,-0.290531072379411,0.9980338194478959,0.0,0.0037716150508182774,0.0,-1.6075363334663035,-1.6056468107981716
87,15.51870419892878,-0.12834870937167286,1.0,9.020476287520895e-05,4.092643339612932,0.2437575639163625,0.2435126493589322,1.2757224548098314,0.8273856777959678,1.4351213544767987,-0.29649630893596557,0.9979909811404318,0.0,0.003798384746065708,0.0,-1.6075885428469159,-1.6056855272797186
88,15.518306904699807,-0.12834792116943533,1.0,9.258961443372358e-05,4.105293179805593,0.2468530017490162,0.24660182893784713,1.2796694839676446,0.8340953064232189,1.4477485896413969,-0.30003978538744946,0.9979654851197042,0.0,0.003814029607291319,0.0,-1.6076197409026654,-1.6057088383393199
89,15.518058925192797,-0.12834743286157588,1.0,9.408079198057699e-05,4.109655357925683,0.24878509365148058,0.24852997459710643,1.2821392534008849,0.8338028510881804,1.4483906389300325,-0.3011186096646665,0.9979495713224875,0.0,0.0038134186375447777,0.0,-1.6076392604123428,-1.6057286334893355
90,15.517810946626536,-0.1283469473528833,1.0,9.557896079417026e-05,4.117585776845979,0.25071718555394495,0.25045808950956566,1.2846137500055141,0.8379404534861387,1.4561804066290998,-0.30332069366851555,0.9979336576474171,0.0,0.0038230384290680965,0.0,-1.6076588154098257,-1.6057433381635322
91,15.515496053713576,-0.1283425471186257,1.0,0.00011005331258341831,4.192351608881089,0.26875371075320087,0.2684560053753801,1.307943433284406,0.8754057409453329,1.526996887017562,-0.32378615317102294,0.9977851055060216,0.0,0.0039091359215994515,0.0,-1.6078430416830265,-1.6058841349504906
