,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
38,15.510559442882197,-0.12833391499290336,0.9988013987374222,0.000543599388715773,4.363767621370963,0.3072193647826815,0.3068303693719278,1.3591104017659088,0.9564685880977396,1.6818914131547809,-0.3695253583601773,0.997468327776298,0.005422940961120938,0.0,0.0027183524579725503,-1.608245487841755,-1.608245487841755
39,15.503237618903364,-0.1283227952712233,0.998483733292057,0.0007198510819183546,4.619121138619014,0.3642748215069634,0.36372797771817883,1.438682807144729,1.0515507729194573,1.8661072206027471,-0.4322831012237469,0.9969985295515033,0.005718037949064329,0.0,0.0028676260694369183,-1.6088638983368024,-1.6088638983368024
40,15.495916378685102,-0.1283134025670262,0.9981508425225478,0.0009003735341283752,4.889275961637986,0.42133027823124536,0.4205987837090671,1.5228731543019478,1.133901850290915,2.026052722008919,-0.4934473497718249,0.9965288062295001,0.0059634592019866366,0.0,0.0029921158147701624,-1.609504433852207,-1.609504433852207
41,15.488031355461342,-0.12830490548945644,0.9977781127832323,0.0010945058325508906,5.1977912906898025,0.482783657340548,0.4818233024909954,1.6190236825741218,1.211878306397731,2.1757311033892224,-0.5575913481770652,0.9960229464065576,0.006185322707636141,0.0,0.0031050101455752056,-1.610215230888426,-1.610215230888426
42,15.481507694244062,-0.1282989459558527,0.9974602825789226,0.0012523226900538786,5.467587497274576,0.5336298542269211,0.532456641623681,1.7031111072474259,1.2700654733529921,2.284652945626192,-0.6093208975685935,0.99560444749636,0.006342619771243364,0.0,0.0031853110877483066,-1.6108172562718712,-1.6108172562718712
43,15.474984314593538,-0.12829380926016848,0.9971350821622622,0.0014062042063158753,5.751263606490023,0.5844760511132943,0.5830687026194258,1.7915276696741935,1.3239342685466595,2.3820572587873006,-0.6598360871326989,0.9951859847069774,0.006480657785776808,0.0,0.003256003342774654,-1.6114300647273399,-1.6114300647273399
44,15.467863905393514,-0.1282890045589885,0.9967727443297363,0.0015688433428512284,6.077593841616039,0.6399779194460851,0.6382907088940108,1.8932420102788639,1.3790121074897679,2.47703446084739,-0.71357996287172,0.9947292412677197,0.006613127552666349,0.0,0.003324084222274564,-1.6121095977269688,-1.6121095977269688
45,15.460409371507476,-0.12828473530657544,0.9963861792809782,0.0017327455491693412,6.438934229396064,0.6980862616922774,0.6960788834145364,2.0058720089961826,1.4336006769610556,2.5655259964360457,-0.7682621271207348,0.994251082063751,0.006734884208968521,0.0,0.0033869131904734917,-1.612831225693726,-1.612831225693726
46,15.453323575866323,-0.12828128642456862,0.9960127178550814,0.0018824917347640825,6.802136476611639,0.7533219323975868,0.750984456543889,2.119085137319404,1.483374789892403,2.640666004453937,-0.8187058635905088,0.9937965886057072,0.0068371782071510795,0.0,0.0034399283945739916,-1.6135254424216074,-1.6135254424216074
47,15.446823504627037,-0.12827856550601457,0.9956655557721584,0.0020148790776653045,7.153159799068826,0.8039929383150748,0.8013305665592199,2.228504129759179,1.5277155449914648,2.7028717982017443,-0.8636339412899102,0.9933796743624181,0.006921222183733347,0.0,0.0034836741491492676,-1.6141683891955476,-1.6141683891955476
48,15.440404927839724,-0.128276234323133,0.9953189022987605,0.0021412201577042933,7.517409840036423,0.8540296412406079,0.8510257106226358,2.3420478837266323,1.5705808751181523,2.758709811062794,-0.9067044063695944,0.9929679952565935,0.0069962581532979,0.0,0.003522902141216541,-1.6148082684425424,-1.6148082684425424
