,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,kS,H,sigmaE,sigmaB,s,xi,xieff
27,15.549999450545224,-0.1284404232621381,1.0,8.853043668886944e-16,3.211024374642683,4.277895997471506e-06,4.277895921996382e-06,1.0000042779050722,2.2083229615170168e-05,3.564545697487522e-05,-5.587858235853347e-06,3.211024374642683,0.9999999647139046,2.3474840804631644e-05,0.0,0.0,-1.6055053474287408,-1.6055053474287408
28,15.549994505452663,-0.12844040285481106,1.0,2.834446592238671e-13,3.211148004841498,4.2778959974715066e-05,4.2778952427203513e-05,1.0000427798674596,0.0002208160034900272,0.00035643318770553587,-5.587795323741856e-05,3.211148004841498,0.999999647139102,7.516651736441352e-05,0.0,0.0,-1.6055056022052867,-1.6055056022052867
29,15.549945054570255,-0.1284401989111251,1.0,9.066250089836493e-11,3.212384565418565,0.0004277895997471507,0.00042778884499679396,1.000427880359694,0.0022065316273074567,0.003562194772717234,-0.000558716619726059,3.212384565418565,0.9999964713966241,0.00024064364827827673,0.0,0.0,-1.6055081515905474,-1.6055081515905474
30,15.549450550047398,-0.1284381723770342,1.0,2.8695883342308957e-08,3.2247760666516374,0.004277895997471507,0.004277820523232452,1.0042869834585855,0.021903412548238643,0.03540933269853027,-0.0055808848836562275,3.2247760666516374,0.9999647145242391,0.0007684187419654417,0.0,0.0,-1.6055338067371483,-1.6055338067371483
31,15.547551959192324,-0.12843060528248748,1.0,1.1588414945348335e-06,3.272793731336054,0.019060473199931545,0.019058974936088567,1.0192417565624114,0.09489336792542764,0.1542125045430436,-0.024759545555523163,3.272793731336054,0.9998427923957667,0.001616952565244751,0.0,0.0,-1.6056349840602107,-1.6056349840602107
32,15.545170611208734,-0.12842157561913534,1.0,6.0115978012961635e-06,3.3340245808586464,0.03760303531301615,0.03759720427988107,1.0383129206363866,0.1808340837182416,0.29577981124126607,-0.04858736200027877,3.3340245808586464,0.9996898788667953,0.002247787534394871,0.0,0.0,-1.605767677731073,-1.605767677731073
33,15.542252932087147,-0.12841117415332026,1.0,1.8352885620261232e-05,3.4105968217939844,0.0603235058501817,0.060308500449006944,1.062164174130771,0.2782706205739256,0.45867300692445756,-0.07744692726460031,3.4105968217939844,0.9995025400952875,0.0028064354867049714,0.0,0.0,-1.6059385669629986,-1.6059385669629986
34,15.538691888762504,-0.12839940079585643,1.0,4.36154292683329e-05,3.5064210612002134,0.08805636369128265,0.08802439195148791,1.0920147580743467,0.38655993165370706,0.6429746256777986,-0.1121889299170801,3.5064210612002134,0.9992739118777028,0.003329692129414778,0.0,0.0,-1.606158722719296,-1.606158722719296
35,15.534252655442339,-0.1283860270324168,1.0,9.04240117525124e-05,3.6296242683062143,0.12263182494071562,0.12256982150067891,1.1303980434064613,0.5070624484668869,0.8525283818953054,-0.15479083509735073,3.6296242683062143,0.9989889295628605,0.0038410691898916266,0.0,0.0,-1.6064495715757858,-1.6064495715757858
36,15.528560622429648,-0.12837078076463246,1.0,0.00017264341437615356,3.793899368499323,0.16696981559255103,0.16685488319130337,1.1815827853433298,0.6413947564994549,1.0922737965604483,-0.20832772266168414,3.793899368499323,0.9986235630238305,0.004355145005154168,0.0,0.0,-1.6068464824714073,-1.6068464824714073
37,15.521061958232105,-0.12835353931875212,1.0,0.00031131044386056687,4.021624681489325,0.22538795695791944,0.22517855754775326,1.2525463478300276,0.7900268108909416,1.3657396178065295,-0.27711001042859507,4.021624681489325,0.99814229163435,0.004878070397715066,0.0,0.0,-1.6074053318163073,-1.6074053318163073
38,15.511219938483267,-0.128335013628207,1.0,0.0005283784550427423,4.341215509838219,0.3020726911145517,0.3016966163312936,1.3521509439620625,0.947595041531236,1.6649735908133767,-0.36458887590764366,4.341215509838219,0.997510709948671,0.005395078771187684,0.0,0.0,-1.6081909240203893,-1.6081909240203893
39,15.503672092892874,-0.12832340399766762,1.0,0.0007097090100625017,4.603274644695792,0.36088903989699495,0.36035231123984857,1.4338344815886668,1.0469819450161282,1.8574717037464215,-0.4296593991927908,4.603274644695792,0.9970264060753485,0.005704490236242013,0.0,0.0,-1.6088265468162761,-1.6088265468162761
40,15.496124873992839,-0.1283136487552218,1.0,0.0008960210217069849,4.881002814585191,0.4197053886794382,0.4189795235962236,1.5204092219583187,1.132668892369182,2.0239746039001654,-0.4930539662731743,4.881002814585191,0.996542182613592,0.005960284157856862,0.0,0.0,-1.6094859178301244,-1.6094859178301244
41,15.488279759613196,-0.12830515042151677,1.0,0.0010896770133264828,5.187326374278927,0.48084761356331773,0.47989494303754243,1.6159046312430598,1.2108755738413475,2.1742173885777367,-0.557226345988285,5.187326374278927,0.996038882157729,0.006183044353071816,0.0,0.0,-1.6101925426792583,-1.6101925426792583
42,15.481884131688066,-0.12829926625813964,1.0,0.0012450069107416487,5.451111051620146,0.5306957929186901,0.5295354417098063,1.6981432388287512,1.268474429438019,2.282209953461523,-0.6082570282916892,5.451111051620146,0.9956285957907903,0.006339031294088436,0.0,0.0,-1.6107822083524577,-1.6107822083524577
43,15.475488776695567,-0.1282941799075667,1.0,0.001396693380732892,5.728191702647521,0.5805439722740624,0.5791554892475305,1.7845307388116147,1.321891268288156,2.3790833597131704,-0.6581324450335287,5.728191702647521,0.9952183444371332,0.0064763475409447295,0.0,0.0,-1.6113823240985146,-1.6113823240985146
44,15.46836169464175,-0.12828931591579867,1.0,0.0015605950702646232,6.053468077953097,0.6360977066082139,0.6344308857735056,1.885948515849106,1.3776910615085272,2.4757250699562623,-0.7123456297665577,6.053468077953097,0.9947611717514897,0.006611136515540161,0.0,0.0,-1.6120617636532533,-1.6120617636532533
45,15.460751659685405,-0.12828491608958525,1.0,0.0017291653309487363,6.421039960035405,0.695418072585952,0.6934260042183387,2.000557725066645,1.4340730777287447,2.567565775213479,-0.7686157009223922,6.421039960035405,0.9942730372548875,0.006737430230611709,0.0,0.0,-1.6127978845198572,-1.6127978845198572
46,15.454314200045987,-0.12828173651339028,1.0,0.0018665402798319086,6.749209457175107,0.7455996646295117,0.743309847846143,2.10288423540348,1.4798892281396796,2.6373224419520938,-0.8148853651265349,6.749209457175107,0.9938601279924928,0.006832333395789375,0.0,0.0,-1.6134279475084152,-1.6134279475084152
47,15.447876889071154,-0.128278980378045,1.0,0.001999297193705694,7.094009651163362,0.7957812566730713,0.7931729715196238,2.210398843723604,1.524446232506476,2.7007064406293297,-0.8599068165173689,7.094009651163362,0.9934472377983339,0.00691791040209632,0.0,0.0,-1.6140638311896585,-1.6140638311896585
48,15.440716661262526,-0.12827634012684974,1.0,0.0021418724121336267,7.498097735166923,0.8515994694411537,0.8486126035087669,2.3364030848087816,1.5729153708475498,2.764588555541959,-0.9084836835970838,7.498097735166923,0.9929879892617888,0.007003633406078424,0.0,0.0,-1.6147770858514294,-1.6147770858514294
49,15.43300975256631,-0.1282739223810937,1.0,0.0022898389563399757,7.958587468746492,0.9116805672948352,0.9082575628545856,2.4799975266419163,1.6241371821828765,2.826467217172407,-0.9589574736106968,7.958587468746492,0.9924936869987458,0.007086278851050728,0.0,0.0,-1.6155508601897006,-1.6155508601897006
