,E,B,G
131,-1.0835912394385844e+151,3.244910130657275e+151,5.588092030955889e+150
132,2.4367324012446655e+152,6.473023442044337e+152,7.938747547253156e+151
133,-2.0928144081254986e+153,6.263654891918539e+153,1.0781291688952457e+153
134,4.70660100729122e+154,1.2498536797465382e+155,1.531869500307865e+154
135,-4.0428575383419084e+155,1.209352383893576e+156,2.080580637978915e+155
136,9.092823092017814e+156,2.413833516711298e+157,2.956624322308651e+156
137,-7.811528414967165e+157,2.335472907821627e+158,4.0160725713077516e+157
138,1.7570304758500529e+159,4.662821536680836e+159,5.70784193916671e+158
139,-1.5096314372144142e+160,4.511187599745112e+160,7.75387285131232e+159
140,3.395834639711719e+161,9.009090080210154e+161,1.1021637179749855e+161
141,-2.918036791373227e+162,8.715620482958443e+162,1.4973831519198049e+162
142,6.56444565588634e+163,1.7410095346525502e+164,2.1287063658517015e+163
143,-5.641481838014847e+164,1.6842032559405413e+165,2.8922877954733437e+164
144,1.2692043725590914e+166,3.3651698681276005e+166,4.112236725859641e+165
145,-1.090877536774397e+167,3.255194719660975e+167,5.587810102483177e+166
146,2.454397103646509e+168,6.505730891803164e+168,7.945669546633168e+167
147,-2.109779364094451e+169,6.29279136332508e+169,1.079768701287732e+169
148,4.7471804999125195e+170,1.2579581556452095e+171,1.5355727277548768e+170
149,-4.081072077528666e+171,1.2167218165366017e+172,2.086922374053181e+171
150,9.183373887375711e+172,2.432848804903974e+173,2.968214916965071e+172
151,-7.89561021738199e+173,2.352982312045392e+174,4.0342789658398617e+173
152,1.776815908942959e+175,4.705879275175109e+175,5.738561249271039e+174
153,-1.5278103511816913e+176,4.551172804127341e+176,7.800228600596868e+175
154,3.4383838944721848e+177,9.104187149097338e+177,1.1096631972872623e+177
155,-2.9568117966607546e+178,8.804470824033136e+178,1.5084409247088773e+178
156,6.654818924969997e+179,1.7616287030041842e+180,2.1461381534431726e+179
157,-5.723301761879551e+180,1.7035563918117136e+181,2.9176066361409227e+180
158,1.2882089923192855e+182,3.4092475089109326e+182,4.151455941507258e+181
159,-1.107992045633371e+183,3.2967136030338375e+183,5.644176597565721e+182
160,2.494037239532874e+184,6.598904684142701e+184,8.031884792559733e+183
161,-2.1453198158231512e+185,6.380806494588642e+185,1.0920635716230662e+185
162,4.829302905853791e+186,1.2774756525110677e+187,1.55419990483549e+186
163,-4.154428387109712e+187,1.2352015920099653e+188,2.1133276752583776e+187
164,9.35253416349166e+188,2.47342762536985e+189,3.007923728811344e+188
165,-8.046237073227838e+189,2.391477807887363e+190,4.090303624073262e+189
166,1.8114902465020733e+191,4.789718480721486e+191,5.8223127266014925e+190
167,-1.5586019768364378e+192,4.630837080978116e+192,7.917941723617826e+191
168,3.5091593085728744e+193,9.276484833163155e+193,1.127174882546283e+193
169,-3.019514083292781e+194,8.968415750592516e+194,1.5329762542122552e+194
170,6.798751321013242e+195,1.7968758732841245e+196,2.1824912093846747e+195
171,-5.850553712136455e+196,1.737134920316373e+197,2.968406086176736e+196
172,1.3173854469554573e+198,3.4810677381277105e+198,4.2264676625311375e+197
173,-1.1337404424691937e+199,3.3652049004474895e+199,5.748762971735999e+198
174,2.5530122213661004e+200,6.744740566955559e+200,8.18587147390588e+199
175,-2.197281962056157e+201,6.520009455490832e+201,1.113492241137971e+201
176,4.948208490657399e+202,1.3069984424048835e+203,1.5856712323663256e+202
177,-4.259044663969126e+203,1.2634042807934265e+204,2.15705015909717e+203
178,9.591729659126272e+204,2.5330318382240413e+205,3.071997159022942e+204
179,-8.256417776602617e+205,2.4484574927541037e+206,4.179190349996808e+205
180,1.8595100588309523e+207,4.909765395838871e+207,5.9523236915474344e+206
181,-1.6007482507294189e+208,4.7456711825897445e+208,8.09807083752978e+207
182,3.605385058388957e+209,9.517746712371313e+209,1.1534772074463355e+209
183,-3.103882030669234e+210,9.199333312469132e+210,1.56937669144253e+210
184,6.991255792467884e+211,1.8452690273611504e+212,2.2355632578291614e+211
185,-6.019176705678674e+212,1.7834770598657125e+213,3.0417798140712293e+212
186,1.3558388518337252e+214,3.577966433888879e+214,4.333303858345665e+213
187,-1.1673945192458777e+215,3.4580401103615016e+215,5.896334054004743e+214
188,2.6297185221559924e+216,6.938454785315083e+216,8.400485073553632e+215
189,-2.2643620338703773e+217,6.705678872266408e+217,1.1431124145988245e+217
