# This data is taken from: https://arxiv.org/abs/2005.03544
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2020).
#
T[GeV] f[Hz] g_*rho g_*s
0.326077 7.843521657291666e-09 54.1792 51.8691
0.342381 8.252055657951072e-09 55.1133 52.9005
0.3595 8.680990056344455e-09 56.0083 53.889
0.377475 9.132817519808863e-09 56.9033 54.8642
0.396349 9.605811589469087e-09 57.7271 55.7742
0.416167 1.0103797468542463e-08 58.549 56.671
0.436975 1.0627739808521238e-08 59.3635 57.5518
0.458824 1.117969260329184e-08 60.188 58.4314
0.481765 1.1758008307150188e-08 60.9564 59.2606
0.505853 1.2364115344385459e-08 61.6716 60.0405
0.531146 1.3001634446507785e-08 62.38 60.8063
0.557703 1.3669523680288112e-08 63.0321 61.5211
0.585588 1.4370577651914521e-08 63.6528 62.2032
0.614868 1.5107103783774383e-08 64.2548 62.8627
0.645611 1.588114299271304e-08 64.8439 63.5044
0.677891 1.6695870746140667e-08 65.4417 64.1456
0.711786 1.755267121253132e-08 66.0374 64.7793
0.747375 1.845454366423656e-08 66.6457 65.4179
0.784744 1.9400229845076455e-08 67.2135 66.0208
0.823981 2.039390527159953e-08 67.7709 66.6113
0.86518 2.1435646668732995e-08 68.286 67.1645
0.908439 2.2531261718679827e-08 68.8041 67.715
0.953861 2.3681460332777864e-08 69.3005 68.2444
1.00155 2.4889074115108127e-08 69.7781 68.7548
1.05163 2.6166188853318833e-08 70.3377 69.3238
1.10421 2.7508070783664053e-08 70.891 69.8866
1.15942 2.8917926500847565e-08 71.4362 70.4419
1.2174 3.03992026588181e-08 71.9715 70.9883
1.27827 3.1954858154507556e-08 72.4952 71.5243
1.34218 3.358860065932969e-08 73.0057 72.0484
1.40929 3.530430230682821e-08 73.5012 72.5592
1.47975 3.7105664833855993e-08 73.9805 73.0555
1.55374 3.899712980099439e-08 74.4423 73.5359
1.63143 4.098278243752788e-08 74.8854 73.9996
1.713 4.306711878039104e-08 75.3091 74.4455
1.79865 4.52550568029764e-08 75.7128 74.873
1.88858 4.755152205995522e-08 76.096 75.2815
1.98301 4.996196491663679e-08 76.4586 75.6708
2.08216 5.2491888344187585e-08 76.8007 76.0407
2.18627 5.514729349956542e-08 77.1226 76.3913
2.29558 5.7934114184849765e-08 77.4243 76.7225
2.41036 6.085920457644651e-08 77.7068 77.035
2.53088 6.392939453286142e-08 77.9706 77.3289
2.65742 6.71516459516373e-08 78.2163 77.6049
2.79029 7.05338759800842e-08 78.4449 77.8636
2.92981 7.408413958806277e-08 78.6571 78.1056
