# This data is taken from: https://arxiv.org/abs/1803.01038
# Adaptation: added in frequencies in Hz corresponding to T in GeV
#
# Original Header:
### Effective degrees of freedom for the energy density and for the entropy density in the Standard Model.
### Data points are spaced over the interval in log(T).
### 
### K. Saikawa and S. Shirai (2018).
#
#
T[GeV] f[Hz] g_*rho g_*s
4.083246e-06 5.799723849266431e-14 3.3830836 3.9309363
4.1046456e-06 5.83011921865754e-14 3.3830836 3.9309363
4.1261573e-06 5.860673811628e-14 3.3830836 3.9309363
4.1477817e-06 5.891388480400363e-14 3.3830836 3.9309363
4.1695195e-06 5.922264219234267e-14 3.3830836 3.9309363
4.1913711e-06 5.953301596278078e-14 3.3830836 3.9309363
4.2133373e-06 5.984501747828526e-14 3.3830836 3.9309363
4.2354187e-06 6.015865526108156e-14 3.3830836 3.9309363
4.2576157e-06 6.047393499265338e-14 3.3830836 3.9309363
4.2799291e-06 6.0790868035968e-14 3.3830836 3.9309363
4.3023594e-06 6.110946149287997e-14 3.3830836 3.9309363
4.3249073e-06 6.142972530598569e-14 3.3830836 3.9309363
4.3475733e-06 6.175166657713976e-14 3.3830836 3.9309363
4.3703581e-06 6.207529524893853e-14 3.3830836 3.9309363
4.3932624e-06 6.240062126397842e-14 3.3830836 3.9309363
4.4162866e-06 6.272765030374306e-14 3.3830836 3.9309363
4.4394316e-06 6.305639515157066e-14 3.3830836 3.9309363
4.4626978e-06 6.338686148894491e-14 3.3830836 3.9309363
4.486086e-06 6.37190606788331e-14 3.3830836 3.9309363
4.5095967e-06 6.405299982308977e-14 3.3830836 3.9309363
4.5332307e-06 6.438869028468224e-14 3.3830836 3.9309363
4.5569885e-06 6.472613916546508e-14 3.3830836 3.9309363
4.5808708e-06 6.506535640803468e-14 3.3830836 3.9309363
4.6048783e-06 6.540635195498743e-14 3.3830836 3.9309363
4.6290117e-06 6.574913574891972e-14 3.3830836 3.9309363
4.6532714e-06 6.609371347131523e-14 3.3830836 3.9309363
4.6776584e-06 6.644009932588303e-14 3.3830836 3.9309363
4.7021731e-06 6.678829899410683e-14 3.3830836 3.9309363
4.7268163e-06 6.713832383895389e-14 3.3830836 3.9309363
4.7515887e-06 6.749018380302063e-14 3.3830836 3.9309363
4.7764909e-06 6.784388740853254e-14 3.3830836 3.9309363
4.8015236e-06 6.819944459808598e-14 3.3830836 3.9309363
4.8266875e-06 6.855686531427734e-14 3.3830836 3.9309363
4.8519833e-06 6.891615949970305e-14 3.3830836 3.9309363
4.8774116e-06 6.927733567658855e-14 3.3830836 3.9309363
4.9029732e-06 6.964040520790115e-14 3.3830836 3.9309363
4.9286688e-06 7.000537803623726e-14 3.3830836 3.9309363
4.9544991e-06 7.037226410419327e-14 3.3830836 3.9309363
4.9804647e-06 7.074107193399464e-14 3.3830836 3.9309363
5.0065664e-06 7.111181288860867e-14 3.3830836 3.9309363
5.0328048e-06 7.148449549026088e-14 3.3830836 3.9309363
5.0591808e-06 7.185913252228942e-14 3.3830836 3.9309363
5.0856951e-06 7.223573392729077e-14 3.3830836 3.9309363
5.1123483e-06 7.261430822749032e-14 3.3830836 3.9309363
5.1391411e-06 7.299486536548453e-14 3.3830836 3.9309363
5.1660744e-06 7.337741812461157e-14 3.3830836 3.9309363
5.1931489e-06 7.376197644746786e-14 3.3830836 3.9309363
5.2203652e-06 7.414854885627885e-14 3.3830836 3.9309363
5.2477242e-06 7.453714813438281e-14 3.3830836 3.9309363
5.2752265e-06 7.492778280400518e-14 3.3830836 3.9309363
5.302873e-06 7.532046564848414e-14 3.3830836 3.9309363
5.3306644e-06 7.571520661041617e-14 3.3830836 3.9309363
5.3586014e-06 7.611201563239758e-14 3.3830836 3.9309363
5.3866848e-06 7.651090407739574e-14 3.3830836 3.9309363
5.4149154e-06 7.69118833083779e-14 3.3830836 3.9309363
5.443294e-06 7.731496468831138e-14 3.3830836 3.9309363
5.4718213e-06 7.772015815979259e-14 3.3830836 3.9309363
5.5004981e-06 7.812747508578885e-14 3.3830836 3.9309363
5.5293252e-06 7.85369268292674e-14 3.3830836 3.9309363
