,G,E,ddphi,phi,N,a,s,delta,xi,sigmaE,B,dphi,H,t,rhoChi,xieff,kh,sigmaB
638,-65.23097205983638,165.61709708805162,2.5177878962269166e-05,7.378683499469201,47.08443622165387,2.8087354430042528e+20,0.0,1.0,-3.348044708775979,0.0,32.85356894410921,-0.12768618666009998,0.47671924125372994,63.8,3.965867214192739,-3.2113851115029597,8.602112645072958e+20,0.1302965190440681
639,-66.06093622805449,167.98567404881985,2.5303638943785848e-05,7.3659150069018375,47.13206738641465,2.9457561063175487e+20,0.0,1.0,-3.35371331924386,0.0,33.18467613292205,-0.1276836625911598,0.4759040593098003,63.9,4.060734441605512,-3.2154985732658523,9.017873009446183e+20,0.13155391733481384
640,-66.90234893151305,170.39014496030535,2.5430236925039784e-05,7.353146767371562,47.17961703458808,3.089209320112515e+20,0.0,1.0,-3.3594008232546178,0.0,33.51981962815434,-0.1276811259043785,0.4750889095331287,64.0,4.157986053452011,-3.219611426539275,9.452914159603703e+20,0.13282478409957213
641,-67.75535361202625,172.8310131161226,2.55576797426569e-05,7.34037878214436,47.227085169398805,3.2393843927630204e+20,0.0,1.0,-3.36510731372536,0.0,33.859039999824795,-0.12767857651561423,0.4742737920825286,64.1,4.257682343923095,-3.2237235281475614,9.908085371181814e+20,0.13410924824993137
642,-68.62009517790025,175.30878883134895,2.568597431096937e-05,7.327611052494665,47.27447179408743,3.396583026953641e+20,0.0,1.0,-3.370832884172141,0.0,34.20238558612673,-0.1276760143400386,0.4734587071178522,64.2,4.359885064828663,-3.2278347376074024,1.0384281007957487e+21,0.13540743518558052
643,-69.49671874630458,177.82398385820366,2.581512757413803e-05,7.314843579705428,47.321776911910604,3.561119821596801e+20,0.0,1.0,-3.376577628714724,0.0,34.5498956257683,-0.12767343929212974,0.4726436547999932,64.3,4.464657456433586,-3.2319449081116014,1.0882420970414042e+21,0.1367194753390525
644,-70.38537109559631,180.37711737177102,2.5945146563109532e-05,7.302076365068189,47.369000526141065,3.733322792756471e+20,0.0,1.0,-3.3823416420813643,0.0,34.90161566327852,-0.12767085128566674,0.4718286352909007,64.4,4.572064278198858,-3.2360538942719135,1.1403471348081534e+21,0.13804549681742515
645,-71.28619975116213,182.96871273804604,2.6076038362617857e-05,7.289309409883144,47.41614264006785,3.913533914241216e+20,0.0,1.0,-3.38812501961367,0.0,35.25759190784434,-0.1276682502337238,0.47101364875358537,64.5,4.682171840806684,-3.240161549878314,1.194843966839506e+21,0.13938562752458125
646,-72.19935285318897,185.5992965235504,2.620781010687471e-05,7.276542715459215,47.46320325699631,4.1021096785485326e+20,0.0,1.0,-3.3939278572714997,0.0,35.61786597295779,-0.12766563604866366,0.47019869535212605,64.6,4.795048037975037,-3.2442677245639833,1.2518368151863173e+21,0.1407399982906004
647,-73.12497958085972,188.26940049034482,2.6340468997578934e-05,7.263776283114125,47.5101823802483,4.299421678865493e+20,0.0,1.0,-3.399750251637892,0.0,35.98248125755874,-0.12766300864213176,0.46938377525168123,64.7,4.910762378643121,-3.248372267330851,1.311434429126306e+21,0.1421087395280571
648,-74.06323028494694,190.97956214086594,2.6474022310515344e-05,7.2510101141744725,47.557080013162214,4.5058572128506236e+20,0.0,1.0,-3.4055922999240553,0.0,36.35148430214487,-0.12766036792505028,0.4685688886184978,64.8,5.029386020001129,-3.2524750272810397,1.3737505483228552e+21,0.14349198054126686
649,-75.01425580179014,193.73032220763238,2.6608477370853638e-05,7.238244209975793,47.60389615909315,4.721819908946303e+20,0.0,1.0,-3.411454099974414,0.0,36.724919706407945,-0.12765771380761162,0.4677540356199174,64.9,5.150991800586551,-3.2565758512358762,1.438903287573682e+21,0.14488985175439276
650,-75.97820775206432,196.5222256540793,2.674384156626291e-05,7.225478571862647,47.650630821412975,4.947730375991379e+20,0.0,1.0,-3.417335750271682,0.0,37.102831336580024,-0.12765504619927226,0.46693921642438685,65.0,5.275654273773185,-3.260674584039149,1.507015453871593e+21,0.14630248440949928
651,-76.95523857337513,199.35582188918613,2.6880122349568197e-05,7.212713201188678,47.69728400351045,5.1840268769301096e+20,0.0,1.0,-3.4232373499420015,0.0,37.48526313283411,-0.12765236500874652,0.4661244312014667,65.1,5.403449741664333,-3.264771069018125,1.578214860677379e+21,0.14773001012050724
652,-77.94550136205505,202.23166436394337,2.7017327234606375e-05,7.199948099316702,47.74385570879137,5.4311660274351466e+20,0.0,1.0,-3.429158998760129,0.0,37.87225935006761,-0.1276496701440003,0.46530968012183976,65.2,5.534456289330667,-3.2688651483687665,1.652634584555533e+21,0.1491725605022058
653,-78.94914999573903,205.15031098249503,2.7155463802876964e-05,7.187183267618777,47.79034594067866,5.689623520288075e+20,0.0,1.0,-3.435100797154654,0.0,38.26386493279775,-0.1276469615122447,0.464494963357322,65.3,5.668753819469199,-3.2729566632038285,1.7304132524123182e+21,0.15063026711618685
654,-79.96633896921054,208.11232355447075,2.7294539699015086e-05,7.17441870747627,47.83675470261246,5.95989487638666e+20,0.0,1.0,-3.441062846213306,0.0,38.660124647723386,-0.12764423901992974,0.46368028108086934,65.4,5.806424087308565,-3.2770454531785873,1.8116950876597267e+21,0.15210326180897984
655,-80.99722334491031,211.11826767222956,2.7434562630629015e-05,7.161654420279951,47.883081998050244,6.24249622327328e+20,0.0,1.0,-3.4470452476882656,0.0,39.06108306250067,-0.12764150257273782,0.46286563346658854,65.5,5.947550735839436,-3.281131356515313,1.8966301146477796e+21,0.1535916766773508
656,-82.04195873433868,214.16871268461875,2.7575540369844234e-05,7.148890407430055,47.92932783046701,6.537965102106433e+20,0.0,1.0,-3.453048104001575,0.0,39.466784648627524,-0.12763875207557746,0.4620510206897455,65.6,6.092219331353234,-3.2852142100699644,1.9853743987058892e+21,0.15509564399487014
657,-83.10070125679441,217.26423159974422,2.7717480753495836e-05,7.136126670336362,47.97549220335532,6.846861304022818e+20,0.0,1.0,-3.459071518250563,0.0,39.8772737793693,-0.12763598743257662,0.46123644292677474,65.7,6.240517399273348,-3.2892938493570814,2.078090274336726e+21,0.15661529617765835
658,-84.17360747788717,220.40540091373515,2.7860391683362442e-05,7.123363210418288,48.021575120225414,7.169767736867421e+20,0.0,1.0,-3.4651155942133376,0.0,40.29259462976456,-0.12763320854707635,0.4604219003552899,65.8,6.392534460248161,-3.2933701085368887,2.174946555773577e+21,0.15815076578518578
