,rhoChi,xi,B,dphi,sigmaE,H,N,kS,kh,xieff,G,E,ddphi,sigmaB,phi,a,t
33,0.0,-1.6479347756889386,3.390342943272292,-0.1282553147885359,0.0,0.9728488399587696,3.255189576171149,83.12335068364501,83.12335068364501,-1.6479347756889386,-1.685982230763282,2.718018621346518,3.1351606483919955e-06,0.0,15.126682595150092,25.924528741073612,3.3
34,0.0,-1.6493251257927628,3.39403430710944,-0.1282550012701459,0.0,0.9720263705473096,3.3524333366629504,91.61242097758849,91.61242097758849,-1.6493251257927628,-1.690707666757739,2.727358455184059,3.135571276225804e-06,0.0,15.11385707934681,28.572174843181013,3.4
35,0.0,-1.6507178221037109,3.397653863671919,-0.1282546876111486,0.0,0.9712039051569852,3.449594850414646,100.96014362671028,100.96014362671028,-1.6507178221037109,-1.6951755211969874,2.73585766382667,3.1378812555706985e-06,0.0,15.101031594900814,31.48763252285108,3.5
36,0.0,-1.6521128684403987,3.4012232037052623,-0.1282543736465961,0.0,0.970381443790738,3.5466741178284806,111.25251556730164,111.25251556730164,-1.6521128684403987,-1.6994464631116155,2.7436759133078223,3.141614205534623e-06,0.0,15.08820614183481,34.69772482597705,3.6
37,0.0,-1.6535102691631678,3.4047586704081576,-0.1282540592528024,0.0,0.9695589864533398,3.643671139307087,122.58405963712464,122.58405963712464,-1.6535102691631678,-1.7035688229436037,2.7509478124398075,3.1464152911030404e-06,0.0,15.075380720185835,38.231934165746665,3.7
38,0.0,-1.6549100290413736,3.408272561418194,-0.1282537443368203,0.0,0.9687365331509352,3.740585915253647,135.05866106730434,135.05866106730434,-1.6549100290413736,-1.7075808110801125,2.7577857134570274,3.1520201253791287e-06,0.0,15.06255533000168,42.122663247044166,3.8
39,0.0,-1.6563121531545462,3.4117740835519994,-0.1282534288286094,0.0,0.9679140838907012,3.837418446072012,148.79048516704154,148.79048516704154,-1.6563121531545462,-1.7115124209965715,2.764282524823232,3.158231652571095e-06,0.0,15.049729971338232,46.40552131784241,3.9
40,0.0,-1.6577166468187683,3.4152700935902685,-0.1282531126752049,0.0,0.967091638680594,3.934168732166792,163.90498399509622,163.90498399509622,-1.6577166468187683,-1.7153870412514174,2.770514421910086,3.16490295730794e-06,0.0,15.03690464425748,51.119638178905305,4.0
41,0.0,-1.6591235155318145,3.4187656774414754,-0.1282527958363747,0.0,0.9662691975291596,4.030836773943419,180.5400005516712,180.5400005516712,-1.6591235155318145,-1.7192228002314738,2.776543367476013,3.171924476983206e-06,0.0,15.024079348826051,56.30800861386902,4.1
42,0.0,-1.6605327649322643,3.4222645926890563,-0.1282524782813828,0.0,0.9654467604453926,4.1274225718082125,198.84697983337088,198.84697983337088,-1.6605327649322643,-1.723033669745739,2.782419395870914,3.179214485259836e-06,0.0,15.01125408511409,62.01787015416076,4.2
43,0.0,-1.6619444007690227,3.4257696109469142,-0.1282521599865776,0.0,0.9646243274386328,4.223926126168399,218.9922969787636,218.9922969787636,-1.6619444007690227,-1.7268303644601843,2.7881826356562933,3.1867120071431434e-06,0.0,14.998428853194442,68.30111736924984,4.3
44,0.0,-1.663358428878601,3.429282770181242,-0.1282518409335935,0.0,0.9638018985184847,4.320347437432159,241.1587136997395,241.1587136997395,-1.663358428878601,-1.7306210635616912,2.7938650704064187,3.1943715435244782e-06,0.0,14.985603653142052,75.2147561746038,4.4
45,0.0,-1.6647748551681736,3.432805569677462,-0.1282515211080096,0.0,0.9629794736947616,4.416686506008643,265.5469752519859,265.5469752519859,-1.6647748551681736,-1.734411988179998,2.799492046228142,3.202159139954848e-06,0.0,14.972778485033482,82.82140197981727,4.5
46,0.0,-1.6661936856029544,3.436339114153375,-0.1282512004983485,0.0,0.9621570529774396,4.512943332307991,292.3775613548748,292.3775613548748,-1.6661936856029544,-1.7382078542021564,2.805083544294603,3.2100494578587948e-06,0.0,14.95995334894659,91.18982586031504,4.6
47,0.0,-1.667614926196783,3.439884220544228,-0.1282508790953295,0.0,0.9613346363766266,4.609117916741347,321.8926057359499,321.8926057359499,-1.667614926196783,-1.7420122290097442,2.8106552420261868,3.218023590155656e-06,0.0,14.94712824496026,100.39555333063868,4.7
48,0.0,-1.6690385830051169,3.443441495250874,-0.1282505568913108,0.0,0.960512223902538,4.7052102597208725,354.3580003580103,354.3580003580103,-1.6690385830051169,-1.7458278081289922,2.816219392644508,3.2260674324657097e-06,0.0,14.934303173154229,110.52152072871073,4.8
49,0.0,-1.6704646621198131,3.447011396879177,-0.1282502338798729,0.0,0.9596898155654778,4.801220361659754,390.06570189833366,390.06570189833366,-1.6704646621198131,-1.749656627787397,2.821785535586259,3.234170467486193e-06,0.0,14.921478133608916,121.6587946920276,4.9
50,0.0,-1.6718931696652524,3.450594273194336,-0.1282499100555076,0.0,0.9588674113758264,4.897148222972215,429.3362597016902,429.3362597016902,-1.6718931696652524,-1.7535002301250389,2.827361081435612,3.242324859784549e-06,0.0,14.90865312640535,133.90736072214284,5.0
51,0.0,-1.6733241117954558,3.4541903945106216,-0.1282495854133852,0.0,0.9580450113440292,4.992993844073514,472.5215862344552,472.5215862344552,-1.6733241117954558,-1.7573597868971746,2.8329517731307345,3.2505247764001533e-06,0.0,14.895828151625071,147.37698739710518,5.1
52,0.0,-1.674757494691958,3.4577999748895776,-0.1282492599491805,0.0,0.9572226154805904,5.0887572253799656,520.0079930403105,520.0079930403105,-1.674757494691958,-1.7612361941650885,2.8385620607843958,3.2587658832494013e-06,0.0,14.883003209350075,162.18817340710245,5.2
53,0.0,-1.6761933245622362,3.4614231910783166,-0.1282489336589435,0.0,0.956400223796066,5.184438367308929,572.2195173541954,572.2195173541954,-1.6761933245622362,-1.7651301436817477,2.8441953896803454,3.267044966027356e-06,0.0,14.870178299662772,178.4731852612205,5.3
54,0.0,-1.6776316076385498,3.465060191792171,-0.1282486065390014,0.0,0.9555778363010616,5.28003727027883,629.6215668870165,629.6215668870165,-1.6776316076385498,-1.76904217659223,2.8498544352090542,3.2753596488319348e-06,0.0,14.857353422645946,196.37719424819423,5.4
55,0.0,-1.6790723501771057,3.4687111054598403,-0.1282482785858859,0.0,0.954755453006228,5.375553934709148,692.7249128674156,692.7249128674156,-1.6790723501771057,-1.7729727238154076,2.855541283092871,3.283708182858366e-06,0.0,14.844528578382748,216.05952203698476,5.5
56,0.0,-1.6805155584574467,3.472376045978919,-0.1282479497962794,0.0,0.9539330739222588,5.470988361020437,762.0900642386182,762.0900642386182,-1.6805155584574467,-1.7769221346496105,2.8612575667037308,3.2920892890107605e-06,0.0,14.831703766956652,237.6950051802035,5.6
57,0.0,-1.6819612387820218,3.476055120003907,-0.1282476201669736,0.0,0.9531106990598894,5.56634054963432,838.3320589796049,838.3320589796049,-1.6819612387820218,-1.7808906996752,2.8670045797185475,3.3005020392195788e-06,0.0,14.81887898845148,261.4754897415616,5.7
58,0.0,-1.6834093974758857,3.479748427271927,-0.1282472896948391,0.0,0.9522883284298962,5.661610500973493,922.1257118743991,922.1257118743991,-1.6834093974758857,-1.7848786666176852,2.8727833553486004,3.308945769477493e-06,0.0,14.806054242951356,287.6114683150594,5.8
59,0.0,-1.684860040886493,3.4834560628655846,-0.1282469583768028,0.0,0.9514659620430947,5.756798215461738,1014.2113617168123,1014.2113617168123,-1.684860040886493,-1.788886252773809,2.878594732505308,3.317420012567724e-06,0.0,14.793229530540712,316.3338728465947,5.9
60,0.0,-1.6863131753835767,3.487178117827363,-0.1282466262098303,0.0,0.9506435999103394,5.851903693523914,1115.401164938698,1115.401164938698,-1.6863131753835767,-1.792913652752775,2.884439405772519,3.3259244491072008e-06,0.0,14.780404851304292,347.8960379167989,6.0
61,0.0,-1.687768807359067,3.49091468418646,-0.1282462931909135,0.0,0.9498212420425244,5.94692693558597,1226.5859870182992,1226.5859870182992,-1.687768807359067,-1.7969610459656835,2.890317958612075,3.334458871570173e-06,0.0,14.767580205327144,382.5758505068213,6.1
62,0.0,-1.6892269432270672,3.4946658515441227,-0.1282459593170606,0.0,0.9489988884505804,6.041867942074948,1348.742947794927,1348.742947794927,-1.6892269432270672,-1.801028600933244,2.896230894682156,3.343023155190509e-06,0.0,14.754755592694613,420.6781037568319,6.2
63,0.0,-1.6906875894238491,3.498431708132599,-0.1282456245852892,0.0,0.9481765391454776,6.13672671341898,1482.9436820235062,1482.9436820235062,-1.6906875894238491,-1.80511647867967,2.9021786583592597,3.35161723749049e-06,0.0,14.741931013492332,462.5370738515911,6.3
64,0.0,-1.6921507524078794,3.5022123439575745,-0.1282452889926204,0.0,0.947354194138224,6.231503250047305,1630.3633821869132,1630.3633821869132,-1.6921507524078794,-1.80922483547304,2.908161650489586,3.3602411035034986e-06,0.0,14.72910646780625,508.5193409409036,6.4
65,0.0,-1.693616438659858,3.506007846679433,-0.1282449525360751,0.0,0.9465318534398652,6.326197552390256,1792.2906967888284,1792.2906967888284,-1.693616438659858,-1.8133538234827011,2.9141802393423597,3.368894773752001e-06,0.0,14.716281955722604,559.0268769385588,6.5
66,0.0,-1.6950846546827762,3.509818307031823,-0.1282446152126707,0.0,0.945709517061486,6.420809620879277,1970.1385641220468,1970.1385641220468,-1.6950846546827762,-1.8175035931021388,2.9202347711483734,3.377578295394739e-06,0.0,14.703457477327929,614.5004251562209,6.6
67,0.0,-1.6965554070019797,3.51364381481112,-0.1282442770194188,0.0,0.9448871850142084,6.515339455946923,2165.4560688978872,2165.4560688978872,-1.6965554070019797,-1.8216742944836688,2.9263255758055045,3.386291735510187e-06,0.0,14.690633032709062,675.4231990345486,6.7
68,0.0,-1.6980287021652434,3.5174844603934106,-0.1282439379533236,0.0,0.9440648573091932,6.609787058026861,2379.941417187608,2379.941417187608,-1.6980287021652434,-1.8258660761731424,2.932452971215177,3.39503517699458e-06,0.0,14.67780862195314,742.3249297500811,6.8
69,0.0,-1.6995045467428485,3.521340335088533,-0.1282435980113802,0.0,0.943242533957639,6.704152427553877,2615.456133926988,2615.456133926988,-1.6995045467428485,-1.830079088025012,2.938617269263544,3.403808714227045e-06,0.0,14.664984245147592,815.7862952220439,6.9
70,0.0,-1.700982947327666,3.5252115297288587,-0.128243257190574,0.0,0.9424202149707838,6.798435564963879,2874.040596836842,2874.040596836842,-1.700982947327666,-1.834313479263045,2.9448187761773745,3.412612450334533e-06,0.0,14.652159902380156,896.4437660388494,7.0
71,0.0,-1.702463910535247,3.5290981364430376,-0.1282429154878798,0.0,0.9415979003599028,6.892636470693899,3157.931031087154,3157.931031087154,-1.702463910535247,-1.8385693998217012,2.951057795271156,3.4214464955197587e-06,0.0,14.639335593738872,984.9949070921498,7.1
72,0.0,-1.703947443003907,3.533000249135812,-0.1282425729002608,0.0,0.940775590136312,6.986755145182102,3469.578100459102,3469.578100459102,-1.703947443003907,-1.842847001559976,2.957334628146845,3.430310965384503e-06,0.0,14.62651131931208,1082.2041772713485,7.2
73,0.0,-1.7054335513948238,3.536917961833749,-0.1282422294246686,0.0,0.939953284311364,7.080791588867783,3811.667243222902,3811.667243222902,-1.7054335513948238,-1.8471464362635452,2.963649577139266,3.43920597930264e-06,0.0,14.613687079188418,1188.9092734600704,7.3
74,0.0,-1.7069222423921264,3.5408513688508494,-0.1282418850580427,0.0,0.9391309828964526,7.174745802191375,4187.140914543068,4187.140914543068,-1.7069222423921264,-1.8514678575111103,2.9700029448323617,3.448131660543524e-06,0.0,14.600862873456846,1306.0280693172654,7.4
75,0.0,-1.7084135227029944,3.544800563608688,-0.1282415397973101,0.0,0.9383086859030092,7.268617785594455,4599.222912047385,4599.222912047385,-1.7084135227029944,-1.8558114200955924,2.97639503563766,3.457088134141519e-06,0.0,14.588038702206616,1434.5662039508695,7.5
76,0.0,-1.7099073990577522,3.5487656432428105,-0.1282411936393852,0.0,0.9374863933425052,7.362407539519743,5051.444977361541,5051.444977361541,-1.7099073990577522,-1.860177279224921,2.98282615487617,3.4660755283102177e-06,0.0,14.575214565527292,1575.6253806356867,7.6
77,0.0,-1.7114038782099692,3.5527467039510148,-0.1282408465811695,0.0,0.9366641052264516,7.456115064411106,5547.6758840383245,5547.6758840383245,-1.7114038782099692,-1.8645655924531883,2.9892966105966616,3.475093971959165e-06,0.0,14.562390463508748,1730.4124412266387,7.7
78,0.0,-1.7129029669365536,3.5567438439319607,-0.1282404986195515,0.0,0.9358418215663992,7.549740360713567,6092.153241527794,6092.153241527794,-1.7129029669365536,-1.868976517568104,2.9958067116847524,3.484143596559917e-06,0.0,14.54956639624117,1900.249287914544,7.8
79,0.0,-1.7144046720378587,3.5607571604017862,-0.1282401497514064,0.0,0.9350195423739384,7.643283428873307,6689.518265785641,6689.518265785641,-1.7144046720378587,-1.873410214725384,3.0023567722205544,3.4932245345028226e-06,0.0,14.536742363815057,2086.583730508199,7.9
80,0.0,-1.7159090003377782,3.5647867530479105,-0.1282397999735964,0.0,0.9341972676606995,7.736744269337663,7344.853789954719,7344.853789954719,-1.7159090003377782,-1.877866844815103,3.0089471061931934,3.502336918815561e-06,0.0,14.523918366321212,2291.0013445520226,8.0
81,0.0,-1.7174159586838482,3.5688327212702053,-0.12823944928297,0.0,0.9333749974383538,7.830122882555144,8063.725813447391,8063.725813447391,-1.7174159586838482,-1.882346570531295,3.0155780319848957,3.511480884534313e-06,0.0,14.511094403850764,2515.2384333551454,8.1
82,0.0,-1.7189255539473485,3.5728951660512505,-0.1282390976763622,0.0,0.9325527317186122,7.92341926897542,8852.228914885773,8852.228914885773,-1.7189255539473485,-1.8868495554187967,3.022249870011992,3.520656566837226e-06,0.0,14.49827047649515,2761.19619547243,8.2
83,0.0,-1.7204377930234067,3.5769741890588937,-0.1282387451505948,0.0,0.9317304705132264,8.016633429049344,9717.035883923323,9717.035883923323,-1.7204377930234067,-1.8913759647718185,3.028962944103376,3.52986410229834e-06,0.0,14.48544658434613,3030.9562084027125,8.3
84,0.0,-1.7219526828310991,3.5810698917881854,-0.1282383917024754,0.0,0.9309082138339886,8.109765363228938,10665.451959187294,10665.451959187294,-1.7219526828310991,-1.8959259657655716,3.035717580947138,3.5391036282817525e-06,0.0,14.472622727495777,3326.797349321276,8.4
85,0.0,-1.7234702303135545,3.585182376321118,-0.1282380373287981,0.0,0.9300859616927326,8.202815071967409,11705.474094685507,11705.474094685507,-1.7234702303135545,-1.900499726402145,3.0425141092397308,3.548375282570214e-06,0.0,14.45979890603649,3651.214284616434,8.5
