,xi,B,kS,dphi,xieff,H,N,kh,sigmaE,rhoChi,G,E,ddphi,sigmaB,phi,a,t
52,-1.6747574946919581,3.4577999748895776,520.0079930403105,-0.12824925994918057,-1.6747574946919581,0.9572226154805903,5.0887572253799656,520.0079930403105,0.0,0.0,-1.7612361941650883,2.8385620607843953,3.2587658832494013e-06,0.0,14.883003209350077,162.18817340710245,5.2
53,-1.6761933245622362,3.4614231910783166,572.2195173541954,-0.12824893365894358,-1.6761933245622362,0.956400223796066,5.184438367308929,572.2195173541954,0.0,0.0,-1.7651301436817475,2.8441953896803454,3.267044966027356e-06,0.0,14.870178299662772,178.4731852612205,5.3
54,-1.6776316076385498,3.465060191792171,629.6215668870165,-0.1282486065390014,-1.6776316076385498,0.9555778363010617,5.28003727027883,629.6215668870165,0.0,0.0,-1.76904217659223,2.8498544352090542,3.2753596488319348e-06,0.0,14.857353422645946,196.37719424819426,5.4
55,-1.6790723501771057,3.4687111054598403,692.7249128674156,-0.12824827858588594,-1.6790723501771057,0.954755453006228,5.375553934709148,692.7249128674156,0.0,0.0,-1.7729727238154076,2.855541283092871,3.283708182858366e-06,0.0,14.844528578382747,216.05952203698473,5.5
56,-1.6805155584574467,3.472376045978919,762.0900642386182,-0.12824794979627946,-1.6805155584574467,0.9539330739222587,5.470988361020437,762.0900642386182,0.0,0.0,-1.7769221346496105,2.8612575667037308,3.2920892890107605e-06,0.0,14.831703766956652,237.6950051802035,5.6
57,-1.6819612387820218,3.476055120003907,838.3320589796049,-0.12824762016697364,-1.6819612387820218,0.9531106990598894,5.56634054963432,838.3320589796049,0.0,0.0,-1.7808906996752,2.8670045797185475,3.3005020392195788e-06,0.0,14.81887898845148,261.4754897415616,5.7
58,-1.6834093974758855,3.479748427271927,922.1257118743991,-0.12824728969483917,-1.6834093974758855,0.9522883284298962,5.661610500973493,922.1257118743991,0.0,0.0,-1.7848786666176852,2.8727833553486004,3.308945769477493e-06,0.0,14.806054242951355,287.6114683150594,5.8
59,-1.6848600408864933,3.4834560628655846,1014.2113617168123,-0.12824695837680283,-1.6848600408864933,0.9514659620430949,5.756798215461738,1014.2113617168123,0.0,0.0,-1.788886252773809,2.878594732505308,3.317420012567724e-06,0.0,14.793229530540712,316.3338728465947,5.9
60,-1.6863131753835767,3.487178117827363,1115.401164938698,-0.12824662620983032,-1.6863131753835767,0.9506435999103394,5.851903693523914,1115.401164938698,0.0,0.0,-1.792913652752775,2.884439405772519,3.3259244491072008e-06,0.0,14.780404851304292,347.8960379167989,6.0
61,-1.687768807359067,3.4909146841864596,1226.5859870182992,-0.12824629319091352,-1.687768807359067,0.9498212420425243,5.94692693558597,1226.5859870182992,0.0,0.0,-1.7969610459656837,2.890317958612075,3.3344588715701734e-06,0.0,14.767580205327144,382.5758505068213,6.1
62,-1.6892269432270672,3.4946658515441227,1348.742947794927,-0.12824595931706068,-1.6892269432270672,0.9489988884505804,6.041867942074948,1348.742947794927,0.0,0.0,-1.8010286009332441,2.8962308946821556,3.3430231551905086e-06,0.0,14.754755592694611,420.6781037568319,6.2
63,-1.6906875894238493,3.498431708132599,1482.9436820235062,-0.12824562458528926,-1.6906875894238493,0.9481765391454776,6.13672671341898,1482.9436820235062,0.0,0.0,-1.80511647867967,2.9021786583592593,3.35161723749049e-06,0.0,14.741931013492332,462.53707385159106,6.3
64,-1.6921507524078794,3.5022123439575745,1630.3633821869132,-0.12824528899262044,-1.6921507524078794,0.9473541941382239,6.231503250047305,1630.3633821869132,0.0,0.0,-1.8092248354730396,2.908161650489586,3.3602411035034986e-06,0.0,14.72910646780625,508.5193409409036,6.4
65,-1.693616438659858,3.506007846679433,1792.2906967888284,-0.12824495253607512,-1.693616438659858,0.9465318534398652,6.326197552390256,1792.2906967888284,0.0,0.0,-1.8133538234827014,2.9141802393423593,3.368894773752001e-06,0.0,14.716281955722604,559.0268769385588,6.5
66,-1.6950846546827762,3.509818307031823,1970.1385641220468,-0.12824461521267072,-1.6950846546827762,0.945709517061486,6.420809620879277,1970.1385641220468,0.0,0.0,-1.8175035931021388,2.9202347711483734,3.377578295394739e-06,0.0,14.703457477327929,614.5004251562209,6.6
67,-1.6965554070019797,3.51364381481112,2165.4560688978872,-0.12824427701941882,-1.6965554070019797,0.9448871850142084,6.515339455946923,2165.4560688978872,0.0,0.0,-1.8216742944836686,2.9263255758055045,3.386291735510187e-06,0.0,14.690633032709062,675.4231990345486,6.7
68,-1.6980287021652434,3.5174844603934106,2379.941417187608,-0.1282439379533236,-1.6980287021652434,0.9440648573091931,6.609787058026861,2379.941417187608,0.0,0.0,-1.8258660761731424,2.9324529712151772,3.39503517699458e-06,0.0,14.677808621953139,742.3249297500811,6.8
69,-1.6995045467428485,3.521340335088533,2615.456133926988,-0.12824359801138024,-1.6995045467428485,0.943242533957639,6.704152427553877,2615.456133926988,0.0,0.0,-1.8300790880250122,2.9386172692635437,3.403808714227045e-06,0.0,14.664984245147592,815.7862952220439,6.9
70,-1.7009829473276659,3.5252115297288587,2874.040596836842,-0.12824325719057408,-1.7009829473276659,0.9424202149707838,6.798435564963879,2874.040596836842,0.0,0.0,-1.834313479263045,2.9448187761773745,3.412612450334533e-06,0.0,14.652159902380157,896.4437660388494,7.0
71,-1.702463910535247,3.5290981364430376,3157.931031087154,-0.12824291548787986,-1.702463910535247,0.9415979003599029,6.892636470693899,3157.931031087154,0.0,0.0,-1.8385693998217014,2.951057795271156,3.4214464955197587e-06,0.0,14.639335593738872,984.9949070921498,7.1
72,-1.703947443003907,3.533000249135812,3469.578100459102,-0.12824257290026084,-1.703947443003907,0.940775590136312,6.986755145182102,3469.578100459102,0.0,0.0,-1.842847001559976,2.957334628146845,3.430310965384503e-06,0.0,14.62651131931208,1082.2041772713485,7.2
73,-1.7054335513948238,3.536917961833749,3811.667243222902,-0.12824222942466865,-1.7054335513948238,0.9399532843113639,7.080791588867783,3811.667243222902,0.0,0.0,-1.8471464362635455,2.963649577139266,3.4392059793026396e-06,0.0,14.613687079188418,1188.9092734600704,7.3
74,-1.7069222423921264,3.5408513688508494,4187.140914543068,-0.12824188505804276,-1.7069222423921264,0.9391309828964526,7.174745802191375,4187.140914543068,0.0,0.0,-1.8514678575111105,2.9700029448323617,3.4481316605435242e-06,0.0,14.600862873456846,1306.0280693172654,7.4
75,-1.7084135227029944,3.544800563608688,4599.222912047385,-0.12824153979731018,-1.7084135227029944,0.9383086859030091,7.268617785594455,4599.222912047385,0.0,0.0,-1.8558114200955924,2.9763950356376596,3.457088134141519e-06,0.0,14.588038702206616,1434.5662039508697,7.5
76,-1.7099073990577522,3.5487656432428105,5051.444977361541,-0.12824119363938527,-1.7099073990577522,0.9374863933425053,7.362407539519743,5051.444977361541,0.0,0.0,-1.860177279224921,2.98282615487617,3.4660755283102177e-06,0.0,14.575214565527292,1575.6253806356867,7.6
77,-1.7114038782099692,3.5527467039510148,5547.6758840383245,-0.12824084658116958,-1.7114038782099692,0.9366641052264515,7.456115064411106,5547.6758840383245,0.0,0.0,-1.8645655924531885,2.9892966105966616,3.475093971959165e-06,0.0,14.562390463508748,1730.4124412266387,7.7
78,-1.7129029669365536,3.5567438439319607,6092.153241527794,-0.1282404986195515,-1.7129029669365536,0.9358418215663992,7.549740360713567,6092.153241527794,0.0,0.0,-1.8689765175681041,2.9958067116847524,3.484143596559917e-06,0.0,14.54956639624117,1900.2492879145436,7.8
79,-1.7144046720378587,3.5607571604017862,6689.518265785641,-0.12824014975140646,-1.7144046720378587,0.9350195423739385,7.643283428873307,6689.518265785641,0.0,0.0,-1.873410214725384,3.0023567722205544,3.4932245345028226e-06,0.0,14.536742363815055,2086.583730508199,7.9
80,-1.7159090003377782,3.5647867530479105,7344.853789954719,-0.1282397999735964,-1.7159090003377782,0.9341972676606997,7.736744269337663,7344.853789954719,0.0,0.0,-1.877866844815103,3.0089471061931934,3.502336918815561e-06,0.0,14.523918366321212,2291.0013445520226,8.0
81,-1.7174159586838482,3.5688327212702053,8063.725813447391,-0.12823944928297,-1.7174159586838482,0.9333749974383538,7.830122882555144,8063.725813447391,0.0,0.0,-1.882346570531295,3.0155780319848953,3.511480884534313e-06,0.0,14.511094403850764,2515.2384333551454,8.1
82,-1.7189255539473485,3.5728951660512505,8852.228914885773,-0.12823909767636227,-1.7189255539473485,0.9325527317186122,7.92341926897542,8852.228914885773,0.0,0.0,-1.8868495554187967,3.022249870011992,3.520656566837226e-06,0.0,14.49827047649515,2761.19619547243,8.2
83,-1.7204377930234067,3.5769741890588937,9717.035883923323,-0.12823874515059483,-1.7204377930234067,0.9317304705132263,8.016633429049344,9717.035883923323,0.0,0.0,-1.8913759647718185,3.028962944103376,3.5298641022983397e-06,0.0,14.48544658434613,3030.9562084027125,8.3
84,-1.7219526828310991,3.5810698917881854,10665.451959187294,-0.12823839170247545,-1.7219526828310991,0.9309082138339886,8.109765363228938,10665.451959187294,0.0,0.0,-1.8959259657655714,3.035717580947138,3.5391036282817525e-06,0.0,14.472622727495777,3326.797349321276,8.4
